Iteration: 12600, Eval Loss: 2.180466651916504
Iteration: 12700, Eval Loss: 2.1698338985443115
Iteration: 12800, Eval Loss: 2.1625008583068848
Iteration: 12900, Eval Loss: 2.1617300510406494
Iteration: 13000, Eval Loss: 2.1641788482666016
Iteration: 13100, Eval Loss: 2.1738975048065186
Iteration: 13200, Eval Loss: 2.113576650619507
Iteration: 13300, Eval Loss: 2.1585373878479004
Iteration: 13400, Eval Loss: 2.177880048751831
Iteration: 13500, Eval Loss: 2.1534571647644043
Iteration: 13600, Eval Loss: 2.1198198795318604
Iteration: 13700, Eval Loss: 2.1229491233825684
Iteration: 13800, Eval Loss: 2.099668502807617
Iteration: 13900, Eval Loss: 2.1218807697296143
Iteration: 14000, Eval Loss: 2.1498539447784424
Iteration: 14100, Eval Loss: 2.169182538986206
Iteration: 14200, Eval Loss: 2.14079213142395
Iteration: 14300, Eval Loss: 2.1347172260284424
Iteration: 14400, Eval Loss: 2.1232712268829346
Iteration: 14500, Eval Loss: 2.10575008392334
Iteration: 14600, Eval Loss: 2.138254404067993
Iteration: 14700, Eval Loss: 2.1392438411712646
Iteration: 14800, Eval Loss: 2.149502992630005
Iteration: 14900, Eval Loss: 2.1107966899871826
Iteration: 15000, Eval Loss: 2.124084234237671
Iteration: 15100, Eval Loss: 2.1239192485809326
Iteration: 15200, Eval Loss: 2.0948903560638428
Iteration: 15300, Eval Loss: 2.1129167079925537
Iteration: 15400, Eval Loss: 2.1129868030548096
Iteration: 15500, Eval Loss: 2.065051555633545
Iteration: 15600, Eval Loss: 2.1168980598449707
Iteration: 15700, Eval Loss: 2.0999202728271484
Iteration: 15800, Eval Loss: 2.074362277984619
Iteration: 15900, Eval Loss: 2.105105400085449
Iteration: 16000, Eval Loss: 2.1115458011627197
Iteration: 16100, Eval Loss: 2.0433530807495117
Iteration: 16200, Eval Loss: 2.1250364780426025
Iteration: 16300, Eval Loss: 2.101102352142334
Iteration: 16400, Eval Loss: 2.0941154956817627
Iteration: 16500, Eval Loss: 2.071441173553467
Iteration: 16600, Eval Loss: 2.1123464107513428
Iteration: 16700, Eval Loss: 2.0367448329925537
Iteration: 16800, Eval Loss: 2.06711745262146
Iteration: 16900, Eval Loss: 2.0699996948242188
Iteration: 17000, Eval Loss: 2.1174542903900146
Iteration: 17100, Eval Loss: 2.1178927421569824
Iteration: 17200, Eval Loss: 2.046954870223999
Iteration: 17300, Eval Loss: 2.0895018577575684
Iteration: 17400, Eval Loss: 2.071465253829956
